codigo,prompt_ia,descripcionNueva
0,"Escribe una descripción comercial para una tienda de informática sobre el producto: Producto Generica Std. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
107,"Escribe una descripción comercial para una tienda de informática sobre el producto: C.r.r.. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
108,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cinta Maquina Escribir. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
111,"Escribe una descripción comercial para una tienda de informática sobre el producto: Tinta Para Sello Negra 30cc. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
114,"Escribe una descripción comercial para una tienda de informática sobre el producto: Caset Reloj Amano-needtek-tm-. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1194,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cortadora Rotativa Bextra Mx18. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
134,"Escribe una descripción comercial para una tienda de informática sobre el producto: Gaveta Monedera 5 Div  Acero Inox. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
135,"Escribe una descripción comercial para una tienda de informática sobre el producto: Gaveta Monedera 5 Div. Esmaltada. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
136,"Escribe una descripción comercial para una tienda de informática sobre el producto: Gaveta Monedera 3 Div.acero Inox. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
137,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cajon Para Dinero 5 Divisiones Esmaltado. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
138,"Escribe una descripción comercial para una tienda de informática sobre el producto: Gaveta Monedera 4 Div.acero Inox. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
139,"Escribe una descripción comercial para una tienda de informática sobre el producto: Gaveta Monedera 4 Div.esmaltada. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
140,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cofre Dasa V4 Oficio. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
141,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cofre Dasa V3. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1421,"Escribe una descripción comercial para una tienda de informática sobre el producto: Su Turno Racionador Plastico Rojo. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
146,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cofre Dasa V0. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
147,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cofre Dasa V1. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
148,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cofre Dasa V2. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1512,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cifra Pr-226- 12 Digitos - Bicolor. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1525,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cifra Pr-26 Incluye Adaptador 220v-6v. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1526,"Escribe una descripción comercial para una tienda de informática sobre el producto: Cifra Pr-235. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1531,"Escribe una descripción comercial para una tienda de informática sobre el producto: Casio Hr-100 Rc. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1545,"Escribe una descripción comercial para una tienda de informática sobre el producto: Exaktus Ex-90 - 12 Digitos. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
1547,"Escribe una descripción comercial para una tienda de informática sobre el producto: Casio Hr-8rc- 12 Digitos Negra. Debe parecer escrita por un humano, clara, profesional y orientada a ventas. Primero un párrafo corto y luego características en líneas separadas.",
